# POS CODE NAME TYPE
1 GO Petak_Mulai START
2 GRT Garut STREET
3 DNU Dana_Umum COMMUNITY_CHEST
4 TSK Tasikmalaya STREET
5 PPH Pajak_Penghasilan TAX_PPH
6 GBR Stasiun_Gambir RAILROAD
7 BGR Bogor STREET
8 FES Festival FESTIVAL
9 DPK Depok STREET
10 BKS Bekasi STREET
11 PEN Penjara JAIL
12 MGL Magelang STREET
13 PLN PLN UTILITY
14 SOL Solo STREET
15 YOG Yogyakarta STREET
16 STB Stasiun_Bandung RAILROAD
17 MAL Malang STREET
18 DNU Dana_Umum COMMUNITY_CHEST
19 SMG Semarang STREET
20 SBY Surabaya STREET
21 BBP Bebas_Parkir FREE_PARKING
22 MKS Makassar STREET
23 KSP Kesempatan CHANCE
24 BLP Balikpapan STREET
25 MND Manado STREET
26 TUG Stasiun_Tugu RAILROAD
27 PLB Palembang STREET
28 PKB Pekanbaru STREET
29 PAM PAM UTILITY
30 MED Medan STREET
31 PPJ Pergi_ke_Penjara GO_JAIL
32 BDG Bandung STREET
33 DEN Denpasar STREET
34 FES Festival FESTIVAL
35 MTR Mataram STREET
36 GUB Stasiun_Gubeng RAILROAD
37 KSP Kesempatan CHANCE
38 JKT Jakarta STREET
39 PBM Pajak_Barang_Mewah TAX_PBM
40 IKN Ibu_Kota_Nusantara STREET
